SMILES,animalic&ambery,sweety&gourmand,floral,fruity&vegetable,pungent&disagreetable,green&herbal,nutty,woody&mossy,resinous&balsamic,cooked,odorless,spice
CCCCC(O)S,,0,0,1,1,1,0,0,0,1,0,0
CCC=CC(C)(O)CCC=C(C)C,0,0,1,0,0,1,0,1,0,0,0,0
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.O=S(=O)(O)O,0,0,0,0,0,0,0,0,0,0,1,0
CC(C)(O)CCCC1=CCC(C=O)CC1,0,0,1,,,,0,1,0,0,0,
CCCCCCCCC/C=C/COC(C)=O,,0,0,,0,1,0,0,0,0,0,0
CCCC(=O)OC(CC)c1ccccc1,,,1,,0,0,0,0,0,0,0,0
CCCCCC[C@H]1CCCC(=O)O1,1,1,0,,0,0,0,0,0,0,0,0
CC(C)=CCC1(C)CC(C)C=C(C)C1=O,0,0,1,1,1,1,0,0,0,0,0,0
OCC1O[C@@H]2O[C@@H]3C(CO)O[C@H](O[C@@H]4C(CO)O[C@H](O[C@@H]5C(CO)O[C@H](O[C@@H]6C(CO)O[C@H](O[C@@H]7C(CO)O[C@H](O[C@H]1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,0,0,0,0,0,0,0,0,0,0,1,0
C=C(C)CCCC(C)CCOC(=O)c1ccccc1,0,1,1,1,0,0,0,,0,0,0,0
CC(C)COCC(C)C.Oc1ccc2ccccc2c1,0,0,1,1,0,,0,0,0,0,0,0
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,0,0,0,0,0,0,0,0,0,0,1,0
CC=CC=CC(=O)[O-].[K+],0,0,0,0,0,0,0,0,0,0,0,0
O=S1(=O)N=C([O-])c2ccccc21.O=S1(=O)N=C([O-])c2ccccc21.[Ca+2],0,0,0,0,0,0,0,0,0,0,1,0
CC/C=C/CCC1(C)CCC(=O)O1,,1,1,,,,1,0,0,,0,0
O=CCOCCc1ccccc1,0,,,0,0,1,0,0,0,0,0,0
CCC(S)CC,,,0,,1,0,,0,0,1,0,0
CC(=O)OCCCCCCCC(C)C,,,,1,,,0,0,0,0,0,
CC1O[C@H](C)C(=O)C1=O,0,1,0,0,0,0,0,0,0,,0,0
CCCCCCC=CC(=O)O,,,0,,0,,0,0,0,0,0,0
CC/C=C/C=O,0,,0,1,,,0,0,0,0,0,0
CCCCCCCCCC(=O)OCC(C)C,,1,0,1,,0,0,,0,,0,0
O=S(=O)([O-])[O-].[Fe+2],0,0,0,0,,0,0,0,0,0,,0
O=C(Nc1cccc(Cl)c1)OCC#CCCl,0,0,0,0,0,0,0,0,0,0,1,0
